,key,title,authors,abstract,year_published,tags
0,rayyan-354359269,An experience of automated assessment in a large-scale introduction programming course,"Zampirolli F.A., Borovina Josko J.M., Venero M.L.F., Kobayashi G., Fraga F.J., Goya D., Savegnago H.R.","The 2020 pandemic imposed new demands on teaching practices to support student's distance learning process. In this context, automated assessment (AA) is a pivotal resource that offers immediate and automatic feedback on students' programming tasks. Although the literature provides several contributions regarding AA of Programming Exercises (PEs), very few works discuss the automatic generation of personalized PE. This study reports our experience in applying a new proposal for AA-PE in an Introduction to Programming (IP) course for a large group of students. This proposal's key feature is the ability to apply AA-PE and parameterized unified exams to different programming languages by using the open-source tools MCTest and Moodle (with virtual programming lab [VPL] plugin). During the first quarter of 2019, teachers of 19 of 44 IP-FF (face-to-face) classes embraced our approach as a component in their pedagogical intervention. These classes achieved a higher pass rate (67.5%) than those that did not adopt our AA solution (59.1%), whereas the standard deviation was quite the same (22.5% and 21.3%, respectively). Additionally, preliminary results revealed a strong linear correlation (r =.93) between the pass rate and the average grade of the AA-PE. In IP-BL (blended learning), two classes used our method in the exams, with 171 students and a pass rate of 70.4%. These results corroborate previous works that continuous assessment combined with immediate feedback can contribute to students' learning process. © 2021 Wiley Periodicals LLC",2021,"['approach:fully_automated', 'data:none', 'data_available:False', 'evaluation:with_without', 'feedback:test_output', 'interaction:unknown', 'language:python', 'skill:correctness', 'technique:pre_defined_questions', 'technique:test_cases', 'tool:mctest', 'tool:moodle', 'tool:vpl', 'type:description', 'type:evaluation', 'type:experience_report']"
1,rayyan-354359270,Semiautomatic generation and assessment of Java exercises in engineering education,"Insa D., Pérez S., Silva J., Tamarit S.","Continuous assessment is essential in education. It should be an integral part of education that provides immediate feedback to students. Unfortunately, the assessment of programming source code is still a hand-operated and error-prone task, and can take weeks before the student gets feedback. This study presents a semiautomatic code assessment method able to automatically apply black-box assessment (which relies on the comparison of input-output pairs) and white-box assessment (which relies on checking different source code properties). The method proposed is a general-purpose assessment system that was originally designated to be used in engineering education, but that can be used in other educational contexts to assist the assessment of any Java programming assignments or exams. The main advantage of this system is that the assessment made is quicker, exhaustive, and objective; and it does not produce false positives. After the application of this method over two years in several real university courses, we have released a public and free implementation. An empirical evaluation of this system estimates that the amount of assessment work automatically done by the tool is over 48%. Additionally, the system has been used to measure the average subjective influence (i.e., assessment errors) introduced by teachers when they assess exams manually. © 2020 Wiley Periodicals LLC",2021,"['approach:fully_automated', 'approach:semi_automatic', 'data:internal_exams', 'data_available:on_request', 'evaluation:auto_grading', 'evaluation:compared_to_human', 'feedback:personalised_feedback', 'feedback:rule_failure', 'interaction:unknown', 'language:java', 'skill:correctness', 'skill:maintainability', 'technique:code_repair_for_feedback', 'technique:dsl_for_exercise_gen', 'technique:dsl_rules', 'technique:model_solution_req', 'technique:pattern_matching', 'technique:test_cases', 'tool:javassess', 'type:description', 'type:evaluation']"
2,rayyan-354359271,A tool for evaluating computer programs from students,"Vaneck Q., Colart T., Frénay B., Vanderose B.","Computer science studies are more and more popular, and teachers must face and adapt to the increasing number of students. Whereas small groups allowed more interactions between teachers and students, the resulting overcrowding takes away closeness and forces teachers to spend less time with each student. Therefore, the student can quickly feel submerged and helpless against the difficulty of the course. This paper proposes a solution that aims to reduce drop-out in programming courses. It offers an accurate feedback on the quality of students' Python code to deepen their understanding, together with a playful interface to boost their interest in programming. This solution developed under the name of ""METAssistant""has two objectives. It allows students to use it to evaluate their programs and to get an accurate feedback, and teachers to have an overview of the understanding of the matter by their students. © 2021 ACM.",2021,"['approach:fully_automated', 'data:none', 'data_available:False', 'evaluation:none', 'feedback:gamified', 'feedback:personalised_feedback', 'interaction:unknown', 'language:python', 'skill:code_quality', 'skill:maintainability', 'skill:readability', 'technique:code_metrics', 'technique:metrics', 'technique:program_repair', 'technique:static_analysis', 'tool:pylint', 'type:description']"
3,rayyan-354359272,Virtual Teaching Assistant for Grading Programming Assignments: Non-dichotomous Pattern based Program Output Matching and Partial Grading Approach,"Chou C.-Y., Chen Y.-J.","This study proposes an automated programming assessment system with a virtual teaching assistant (VTA) grading mechanism to automatically assess and grade functional correctness of students' programming assignments by using a non-dichotomous pattern-based program output matching and partial grading approach. The VTA grading mechanism matches student program output with location-free or location-specific patterns to release the strict specification of program output and offer partial marks on programs with partial functional correctness to let students know they are on the right track. The VTA grading results were applied as immediate formative assessments to help students refine their programs. The results of an evaluation showed that the VTA grading had high accuracy and helped students refine their programs, particularly for complex programs. In addition, most students expressed a positive attitude toward the VTA grading mechanism. © 2021 IEEE.",2021,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:auto_grading', 'evaluation:compared_to_human', 'feedback:test_output', 'interaction:multiple', 'language:unknown_language', 'skill:correctness', 'technique:output_matching', 'technique:pattern_matching', 'technique:test_cases', 'tool:vta', 'type:description', 'type:evaluation']"
4,rayyan-354359273,Analysis of an automatic grading system within first year Computer Science programming modules,"Hegarty-Kelly E., Mooney D.A.","Reliable and pedagogically sound automated feedback and grading systems are highly coveted by educators. Automatic grading systems are useful for ensuring equity of grading of student submissions to assignments and providing timely feedback on the work. Many of these systems test submissions to assignments based on test cases and the outputs that they achieve, while others use unit tests to check the submissions. The approach presented in this paper checks submissions based on test cases but also analyses what the students actually wrote in their code. Assignment questions are constructed based around the concepts that the student are currently learning in lectures, and the patterns searched for in their submissions are based on these concepts. In this paper we show how to implement this approach effectively. We analyse the use of an automatic grading system within first year Computer Science programming modules and show that the system is straightforward to use and suited for novice programmers, while providing automatic grading and feedback. Evaluation received from students, demonstrators and lecturers show the system is extremely beneficial. The evaluation shows that such systems allow demonstrators more time to assist students during labs. Lecturers can also provide instant feedback to students while keeping track of their progress and identifying where the gaps in students' knowledge are. © 2021 Owner/Author.",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:auto_grading', 'evaluation:student_survey', 'evaluation:user_study', 'feedback:test_output', 'interaction:unknown', 'language:java', 'skill:code_quality', 'skill:correctness', 'technique:dsl_rules', 'technique:pattern_matching', 'technique:test_cases', 'technique:unit_testing', 'tool:mule', 'tool:vpl', 'type:description', 'type:evaluation']"
5,rayyan-354359274,Evaluating Control-Flow Graph Similarity for Grading Programming Exercises,"Sendjaja K., Rukmono S.A., Perdana R.S.","Programming has become a fundamental skill in the current digital era. A formal programming course relies on an autograder to score student works. However, the usual black-box method only compares the output instead of adequately examining the code structure. As such, another method is required to measure the structure of the student submission code to give fairer scores. In this paper, an experiment is conducted using a control-flow graph (CFG) comparison algorithm to measure the similarity between student submission code and reference code from the instructor, followed by an analysis of the results obtained from the experiment. The comparison was made using the Hu Algorithm [1], based on previous CFG similarity measurements presented by Chan and Collberg [2]. Through the experiment and analysis process, it is concluded that the CFG comparison method implemented in this research is better applied to boost students who got low scores due to minor mistakes rather than be applied to the entire student submissions as the primary scoring algorithm. © 2021 IEEE.",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_human', 'feedback:none', 'interaction:unknown', 'language:unknown_language', 'skill:correctness', 'technique:control_flow_graph', 'technique:model_solution_closeness', 'technique:model_solution_req', 'technique:pattern_matching', 'tool:none', 'type:description', 'type:evaluation']"
6,rayyan-354359276,Model-based automatic grading of object-oriented programming assignments,Le D.M.,"Automatic grading of object-oriented programming (OOP) assignments is an important problem from practical, theoretical, and educational viewpoints. Apart from computing a specific grade, an effective grading method needs to provide systematic feedback comments to both the design and code elements. Existing works have proposed grading methods that make various assumptions about the design. However, none of these methods have considered using a design language for the program model. A challenge here is to use a language that eases learning and application in program design. In this paper, we propose a novel grading method, named OOPGRADER, which automatically grades OOP assignments constructed based on an essentially detailed program model. This model is defined in an embedded design language, which directly uses the annotation feature of OOP language to express the essential design rules. We explain how programming assignments can be designed with this language and propose a program checker and a grader for both student and teacher to use in working on the assignments and in grading them. We implement these components in a tool and develop an Eclipse plugin for this tool. We evaluate our method using a combination of qualitative and quantitative techniques. The main result is that our method helps students effectively learn to program through detailed feedback comments based on a program model. The tool is adaptable, has a good performance, and helps enhance the productivity of both students and teachers through IDE integration. © 2021 Wiley Periodicals LLC",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:on_request', 'evaluation:auto_graders', 'evaluation:auto_grading', 'feedback:personalised_feedback', 'feedback:rule_failure', 'feedback:unit_testing', 'interaction:multiple', 'language:java', 'skill:correctness', 'skill:maintainability', 'skill:oop', 'technique:dsl', 'technique:dsl_rules', 'technique:model_based', 'technique:model_solution_req', 'technique:test_cases', 'tool:oopgrader', 'type:description', 'type:evaluation']"
7,rayyan-354359277,An interactive feedback system for grammar development (tool paper),"Barraball C., Raselimo M., Fischer B.","We describe gtutr, an interactive feedback system designed to assist students in developing context-free grammars and corresponding ANTLR parsers. It intelligently controls students' access to a large test suite for the target language. After each submission, gtutr analyzes any failing tests and uses the Needleman-Wunsch sequence alignment algorithm over the tests' rule traces to identify and eliminate similar failing tests. This reduces the redundancy in the feedback given to the students and prevents them from being overloaded. gtutr uses simple gamification to encourage independent problem solving by students: it gives as little information as possible, and students need to prompt the system for further details such as failing tests similar to or different from already seen tests, or even for hints about rules that are the most likely to contain faults. It tracks the students' information requests and uses this to attenuate marks following an instructor-set penalty schema. The system also visualizes test outcomes over multiple submissions, helping students to keep track of the effects of their changes as their grammar development progresses. © 2020 ACM.",2020,"['approach:fully_automated', 'data:internal_assignments', 'data_available:on_request', 'evaluation:grade_correlation', 'evaluation:student_survey', 'feedback:personalised_feedback', 'feedback:unit_testing', 'interaction:multiple', 'language:java', 'skill:correctness', 'skill:teaching_context_free_grammar', 'technique:test_cases', 'technique:trace_examination', 'technique:unit_testing', 'tool:oopgrader', 'type:description', 'type:evaluation']"
8,rayyan-354359278,Combining dynamic and static analysis for automated grading SQL statements,"Wang J., Zhao Y., Tang Z., Xing Z.","Learning and teaching Structured Query Language (SQL) is a challenge that is widely recognized within the computer science education community. Programming ac-tivities are considered to be the most important aspect of the learning process. Manually grading of SQL statements, however, is often regarded as a tedious and time-consuming ordeal. In this paper we propose an automated grading approach for SQL statements, which combines dynamic and static analysis. The proposed approach first identified the correct statements from the student SQL statements, and then grades the incorrect statements based on the similarity between the statements and the correct statements. Empir-ical evaluation of the proposal was carried out on a dataset consisting of 255 manually graded pairs of statements. Experimental results show that our approach is superior to three state-of-the-art grading approaches. Our study found that each grading approach has its particular advantages and disadvantages, and the combination of different grading approaches can help to improve the quality of grading results. © 2020, Taiwan Ubiquitous Information. All rights reserved.",2020,"['approach:fully_automated', 'data:internal_assignments', 'data_available:True', 'evaluation:compared_to_human', 'evaluation:grading_accuracy', 'feedback:none', 'interaction:unknown', 'language:sql', 'skill:correctness', 'technique:dynamic_analysis', 'technique:model_solution_closeness', 'technique:model_solution_req', 'technique:pattern_matching', 'technique:static_analysis', 'technique:unit_testing', 'tool:none', 'type:description', 'type:evaluation']"
9,rayyan-354359279,Assisted learning of C programming through automated program repair and feed-back generation,"Arifi S.M., Abbou R.B., Zahi A.","Programming courses are among all the current academic curricula for engineering studies. Unfortunately, students often face difficulties already on the basic concepts. Both students and teachers believe that practical sessions and guided learning lead to good outcomes. On the other hand, it is virtually difficult considering the number of students enrolled on programming courses. This paper presents an automated assessment system for programming assignments, based on two different methods: static and dynamic analysis. The presented system aims at providing the student with an ongoing and various feedback delivered according to the category and the recurrence of errors. The system imbeds an automated error repairing feature for the purposes of insuring the assessment process achievement. It operates if the student fails to submit a correct program despite the feed-back provided by the system. In such cases, the system uses a penalty mechanism, customized by the teacher to grade the student.s program. Testing the presented automated system, through assessing real students. assignments, showed promising results compared to manual assessment. Copyright © 2020 Institute of Advanced Engineering and Science. All rights reserved.",2020,"['approach:fully_automated', 'data:internal_exams', 'data_available:False', 'evaluation:compared_to_human', 'evaluation:grading_accuracy', 'feedback:augmented_compiler_errors', 'feedback:pre_defined_feedback', 'interaction:multiple', 'language:C', 'skill:correctness', 'technique:dynamic_analysis', 'technique:model_solution_closeness', 'technique:output_matching', 'technique:pattern_matching', 'technique:program_repair', 'technique:static_analysis', 'technique:test_cases', 'tool:claas', 'type:description', 'type:evaluation']"
